tb_id,tb_short_name,tb_full_name,old_gosb_name,old_gosb_id,new_gosb_name,new_gosb_id,isu_branch_id,isu_branch_name,web_gosb_id,pirs_gosb_id,pirs_gosb_name,utc_timezone,timezone_violation_msk,region_id,region_name,inserted_dttm,author_login
38,МБ,Московский банк,Запад,90382,Аппарат МБ,9038,,Московский банк,1025.0,3802.0,ЗАПАДНОЕ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
42,ВВБ,Волго-Вятский банк,Аппарат ВВБ,9049,Аппарат ВВБ,420000,10862.0,Волго-Вятский банк,1054.0,6984.0,ПЕРМСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №6984,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
13,ЦЧБ,Центрально-Черноземный банк,ГО по Воронежской области,9013,ГО по Воронежской области,9013,13444.0,Воронежское,1006.0,9013.0,ВОРОНЕЖСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №9013,3,0,36.0,Воронежская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
40,СРБ,Среднерусский банк,"""""""""""""""""""""""""""""",1021,Аппарат СРБ,400000,10861.0,Среднерусский банк,1044.0,904000000.0,АППАРАТ СРБ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
70,ДВБ,Дальневосточный банк,ГО по Хабаровскому краю,9070,ГО по Хабаровскому краю,9070,13439.0,Хабаровский край,1106.0,9070.0,ГОЛОВНОЕ ОТДЕЛЕНИЕ ПО ХАБАРОВСКОМУ КРАЮ,10,7,27.0,Хабаровский край,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
52,ЮЗБ,Юго-Западный банк,Дагестанское ГОСБ № 8590,8590,Дагестанское ГОСБ № 8590,8590,23564.0,Дагестанское,1071.0,8590.0,ДАГЕСТАНСКОЕ ОТДЕЛЕНИЕ №8590,3,0,5.0,Республика Дагестан,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
52,ЮЗБ,Юго-Западный банк,Чеченское ГОСБ № 8643,8643,Чеченское ГОСБ № 8643,8643,23561.0,Чеченское,1077.0,8643.0,ЧЕЧЕНСКОЕ ОТДЕЛЕНИЕ №8643,3,0,20.0,Чеченская Республика,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
54,ПБ,Поволжский банк,Саратовское ГОСБ № 8622,8622,Саратовское ГОСБ № 8622,8622,10893.0,Саратовское,1083.0,8622.0,САРАТОВСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8622,4,1,64.0,Саратовская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
55,СЗБ,Северо-Западный банк,ГО по Ленинградской области,9056,ГО по Ленинградской области,9056,15636.0,Ленинградская обл.,1097.0,9056.0,ГОЛОВНОЕ ОТДЕЛЕНИЕ ПО ЛЕНИНГРАДСКОЙ ОБЛАСТИ 9056,3,0,47.0,Ленинградская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
38,МБ,Московский банк,Аппарат МБ,9038,Аппарат МБ,9038,10860.0,Московский банк,1030.0,2.0,ОПЕРУ СБЕРБАНКА РОССИИ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
16,УБ,Уральский банк,Башкирское ГОСБ № 8598,8598,Башкирское ГОСБ № 8598,8598,4293.0,Башкирское,1014.0,8598.0,БАШКИРСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8598,5,2,2.0,Республика Башкортостан,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
40,СРБ,Среднерусский банк,Восточное ГО,1023,Восточное ГО,1023,13840.0,Восточное,1032.0,904000001.0,ВОСТОЧНОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
42,ВВБ,Волго-Вятский банк,Пермское ГОСБ № 6984,6984,Пермское ГОСБ № 6984,6984,10885.0,Пермское,1045.0,6984.0,ПЕРМСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №6984,5,2,59.0,Пермский край,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
52,ЮЗБ,Юго-Западный банк,Адыгейское ГОСБ № 8620,8620,Адыгейское ГОСБ № 8620,8620,19865.0,Адыгея,1073.0,8620.0,АДЫГЕЙСКОЕ ОТДЕЛЕНИЕ №8620,3,0,1.0,Республика Адыгея,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
52,ЮЗБ,Юго-Западный банк,Центральное ОСБ № 1806,1806,Краснодарское ГОСБ № 8619,8619,10889.0,Краснодарское,1072.0,8619.0,КРАСНОДАРСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8619,3,0,23.0,Краснодарский край,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
40,СРБ,Среднерусский банк,"""""""""""""""""""""""""""""",1012,Восточное ГО,1023,13840.0,Восточное,1032.0,904000001.0,ВОСТОЧНОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
54,ПБ,Поволжский банк,Аппарат ПВБ,540000,Аппарат ПВБ,540000,10866.0,Поволжский банк,1087.0,6991.0,САМАРСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №6991,4,1,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
55,СЗБ,Северо-Западный банк,"""""""""""""""""""""""""""""",77,Архангельское ГОСБ № 8637,8637,4285.0,Архангельское,1094.0,8637.0,АРХАНГЕЛЬСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8637,3,0,29.0,Архангельская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
13,ЦЧБ,Центрально-Черноземный банк,Белгородское ГОСБ № 8592,8592,Белгородское ГОСБ № 8592,8592,4289.0,Белгородское,1001.0,8592.0,БЕЛГОРОДСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8592,3,0,31.0,Белгородская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
18,ББ,Байкальский банк,Бурятское ГОСБ № 8601,8601,Бурятское ГОСБ № 8601,8601,4295.0,Бурятское,1021.0,8601.0,БУРЯТСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8601,8,5,3.0,Республика Бурятия,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
52,ЮЗБ,Юго-Западный банк,Тимашевское ОСБ № 8619/0499 (1816),1816,Краснодарское ГОСБ № 8619,8619,10889.0,Краснодарское,1072.0,8619.0,КРАСНОДАРСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8619,3,0,23.0,Краснодарский край,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
55,СЗБ,Северо-Западный банк,Коми ГОСБ № 8617,8617,Коми ГОСБ № 8617,8617,10886.0,Коми,1088.0,8617.0,КОМИ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8617,3,0,11.0,Республика Коми,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
2,ЦА,Центральный аппарат,Подразделения ЦА,999,Подразделения ЦА,99,,Подразделения ЦА,,-2.0,Подразделения ЦА,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
54,ПБ,Поволжский банк,"""""""""""""""""""""""""""""",54,Аппарат ПВБ,540000,10866.0,Поволжский банк,1087.0,6991.0,САМАРСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №6991,4,1,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
16,УБ,Уральский банк,Ханты-Мансийское ГОСБ № 1791,1791,Ханты-Мансийское ГОСБ № 1791,1791,2927.0,Ханты-Мансийское,1009.0,1791.0,ХАНТЫ-МАНСИЙСКОЕ ОТДЕЛЕНИЕ №1791,5,2,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
40,СРБ,Среднерусский банк,Аппарат СРБ,400000,Аппарат СРБ,400000,10861.0,Среднерусский банк,1044.0,904000000.0,АППАРАТ СРБ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
54,ПБ,Поволжский банк,Аппарат ПВБ,9054,Аппарат ПВБ,540000,10866.0,Поволжский банк,1087.0,6991.0,САМАРСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №6991,4,1,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
40,СРБ,Среднерусский банк,Смоленское ГОСБ № 8609,8609,Смоленское ГОСБ № 8609,8609,10874.0,Смоленское,1041.0,8609.0,СМОЛЕНСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8609,3,0,67.0,Смоленская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
70,ДВБ,Дальневосточный банк,Чукотское отделение № 1009,1009,Чукотское ГО (на правах отдела),8557,,Чукотское,1101.0,8557.0,ЧУКОТСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8557,12,9,87.0,Чукотский АО,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
38,МБ,Московский банк,Восток,90381,Аппарат МБ,9038,,Московский банк,1024.0,3801.0,ВОСТОЧНОЕ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
16,УБ,Уральский банк,Тюменское ГОСБ № 29,29,Западно-Сибирское отделение №8647,8647,2534.0,Западно - Сибирское,1016.0,29.0,ТЮМЕНСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №29,5,2,72.0,Тюменская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
44,СибБ,Сибирский банк,Спецфилиал ЦОД ОПЕРУ Сибирский банк,9944,ГО по Красноярскому краю,8646,23565.0,Красноярское,1065.0,8646.0,КРАСНОЯРСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8646,7,4,24.0,Красноярский край,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
70,ДВБ,Дальневосточный банк,Южно-Сахалинское ГОСБ № 8567,8567,Южно-Сахалинское ГОСБ № 8567,8567,4281.0,Южно-Сахалинское,1102.0,8567.0,ЮЖНО-САХАЛИНСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8567,11,8,65.0,Сахалинская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
38,МБ,Московский банк,Аппарат МБ,38,Аппарат МБ,9038,10860.0,Московский банк,1030.0,2.0,ОПЕРУ СБЕРБАНКА РОССИИ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
55,СЗБ,Северо-Западный банк,Псковское ГОСБ № 8630,8630,Псковское ГОСБ № 8630,8630,10901.0,Псковское,1093.0,8630.0,ПСКОВСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8630,3,0,60.0,Псковская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
38,МБ,Московский банк,Северо-Восток,90384,Аппарат МБ,9038,,Московский банк,1027.0,3804.0,СЕВЕРО-ВОСТОЧНОЕ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
16,УБ,Уральский банк,Аппарат УБ,160000,Аппарат УБ,160000,10857.0,Уральский Банк,1017.0,7003.0,СВЕРДЛОВСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №7003,5,2,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
44,СибБ,Сибирский банк,Кемеровское ГОСБ № 8615,8615,Кемеровское ГОСБ № 8615,8615,10882.0,Кемеровское,1061.0,8615.0,КЕМЕРОВСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8615,7,4,42.0,Кемеровская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
70,ДВБ,Дальневосточный банк,Благовещенское ГОСБ № 8636,8636,Благовещенское ГОСБ № 8636,8636,4283.0,Благовещенское,1104.0,8636.0,БЛАГОВЕЩЕНСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8636,9,6,28.0,Амурская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
38,МБ,Московский банк,Юго-Запад,3806,Аппарат МБ,9038,,Московский банк,1029.0,3806.0,ЮГО-ЗАПАДНОЕ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
40,СРБ,Среднерусский банк,Брянское ГОСБ № 8605,8605,Брянское ГОСБ № 8605,8605,4299.0,Брянское,1037.0,8605.0,БРЯНСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8605,3,0,32.0,Брянская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
18,ББ,Байкальский банк,Аппарат ББ,9018,Аппарат ББ,180000,10858.0,Байкальский банк,1023.0,8586.0,ИРКУТСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8586,8,5,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
54,ПБ,Поволжский банк,Автозаводское ГО,1039,Автозаводское ГО,1039,24601.0,Автозаводское,1079.0,8213.0,АВТОЗАВОДСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8213,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
18,ББ,Байкальский банк,Якутское ГОСБ № 8603,8603,Якутское ГОСБ № 8603,8603,9436.0,Якутское,1022.0,8603.0,ЯКУТСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8603,9,6,14.0,Республика Саха (Якутия),2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
70,ДВБ,Дальневосточный банк,Приморское ГОСБ № 8635,8635,Приморское ГОСБ № 8635,8635,4282.0,Приморское,1103.0,8635.0,ПРИМОРСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8635,10,7,25.0,Приморский край,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
38,МБ,Московский банк,Юг,3805,Аппарат МБ,9038,,Московский банк,1028.0,3805.0,ЮЖНОЕ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
16,УБ,Уральский банк,Салехардское ГОСБ № 1790,1790,Салехардское ГОСБ № 1790,1790,19866.0,Салехардское,1008.0,1790.0,САЛЕХАРДСКОЕ ОТДЕЛЕНИЕ №1790,5,2,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
38,МБ,Московский банк,ОПЕРУ 9038,2,Аппарат МБ,9038,10860.0,Московский банк,1030.0,2.0,ОПЕРУ СБЕРБАНКА РОССИИ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
55,СЗБ,Северо-Западный банк,Новгородское ГОСБ № 8629,8629,Новгородское ГОСБ № 8629,8629,10900.0,Новгородское,1092.0,8629.0,НОВГОРОДСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8629,3,0,53.0,Новгородская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
40,СРБ,Среднерусский банк,"""""""""""""""""""""""""""""",3000,Аппарат СРБ,400000,10861.0,Среднерусский банк,1044.0,904000000.0,АППАРАТ СРБ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
40,СРБ,Среднерусский банк,Южное ГО,1002,Южное ГО,1024,13841.0,Южное,1033.0,904000004.0,ЮЖНОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
40,СРБ,Среднерусский банк,"""""""""""""""""""""""""""""",904000000,Аппарат СРБ,400000,10861.0,Среднерусский банк,1044.0,904000000.0,АППАРАТ СРБ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
44,СибБ,Сибирский банк,Кызылское ГОСБ № 8591,8591,Кызылское ГОСБ №8591,8591,23567.0,Кызылское,1059.0,8591.0,КЫЗЫЛСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8591,7,4,17.0,Республика Тыва,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
16,УБ,Уральский банк,Аппарат ЗСБ,670000,Западно-Сибирское отделение №8647,8647,2534.0,Западно - Сибирское,1016.0,29.0,ТЮМЕНСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №29,5,2,72.0,Тюменская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
52,ЮЗБ,Юго-Западный банк,Аппарат ЮЗБ,520000,Аппарат ЮЗБ,520000,10865.0,Юго-Западный банк,1078.0,5221.0,РОСТОВСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №5221,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
38,МБ,Московский банк,Север,90383,Аппарат МБ,9038,,Московский банк,1026.0,3803.0,СЕВЕРНОЕ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
38,МБ,Московский банк,Зеленоградское отделение №7954,7954,Аппарат МБ,9038,,Московский банк,1026.0,3803.0,СЕВЕРНОЕ,3,0,,,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
52,ЮЗБ,Юго-Западный банк,Ростовское ГОСБ № 5521,5521,Ростовское ГОСБ № 5221,5221,10888.0,Ростовское,1067.0,,"""""""""""""""""""""""""""""",3,0,61.0,Ростовская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
54,ПБ,Поволжский банк,Оренбургское ГОСБ № 8623,8623,Оренбургское ГОСБ № 8623,8623,10894.0,Оренбургское,1084.0,8623.0,ОРЕНБУРГСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №8623,5,2,56.0,Оренбургская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
52,ЮЗБ,Юго-Западный банк,ГО по Республике Крым,9052,ГО по Республике Крым,9052,,Республика Крым,,,"""""""""""""""""""""""""""""",3,0,91.0,Республика Крым,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
54,ПБ,Поволжский банк,Самарское ГОСБ № 6991,6991,Самарское ГОСБ № 6991,6991,10890.0,Самарское,1080.0,6991.0,САМАРСКОЕ ГОЛОВНОЕ ОТДЕЛЕНИЕ №6991,4,1,63.0,Самарская область,2025-07-10 15:45:10,71545168 (Тестова Тестина Демовна [user00001@fake.test])
